Customer ID,network_age,Customer tenure in month,spend_mo12,Total SMS Spend,Total Data Spend,Total Data Consumption,Total Unique Calls,Total Onnet spend ,Total Offnet spend,complaint_calls,Network type subscription in Month 1,Network type subscription in Month 2,Most Loved Competitor network in in Month 1,Most Loved Competitor network in in Month 2,Churn Status
ADF0439,105.0,3.5,75.4,10.5,10.0,2401224.12,22.0,2532.0,1522.0,2.0,2G,3G,Uxaa,PQza,1.0
ADF0441,399.0,13.3,76.278,32.82,5.0,36991.4678,14.0,114.0,3133.0,1.0,2G,2G,Weematel,PQza,1.0
ADF0445,1278.0,42.6,79.5704,20.25,5.0,42052.4189,12.0,36.0,1373.0,1.0,2G,2G,PQza,PQza,1.0
ADF0450,3445.0,114.83,85.088,28.68,21.25,1541.9365,4.0,24.0,358.0,2.0,2G,2G,Uxaa,PQza,1.0
ADF0462,125.0,4.17,104.272,9.56,41.25,42023.1319,5.0,0.0,683.0,1.0,2G,2G,PQza,PQza,1.0
ADF0465,100.0,3.33,112.56,24.51,20.0,336878.9902,3.0,0.0,537.0,2.0,2G,3G,PQza,PQza,1.0
ADF0467,1223.0,40.77,115.272,7.17,55.0,164326.9375,2.0,0.0,358.0,1.0,2G,2G,PQza,PQza,1.0
ADF0477,3651.0,121.7,133.1844,32.18,0.0,107.125,7.0,1004.0,1398.0,2.0,2G,3G,PQza,PQza,1.0
ADF0478,968.0,32.27,133.894,18.48,23.75,154994.9707,7.0,12.0,1168.0,1.0,2G,3G,PQza,PQza,1.0
ADF0485,311.0,10.37,141.42,41.63,0.0,164.4902,5.0,0.0,867.0,2.0,2G,3G,ToCall,PQza,1.0
ADF0486,1915.0,63.83,141.462,19.74,0.0,2937.3359,25.0,378.0,4457.0,1.0,2G,2G,Weematel,PQza,1.0
ADF0492,3576.0,119.2,153.734,7.17,7.5,289.2783,37.0,2272.0,2402.0,1.0,2G,2G,PQza,PQza,1.0
ADF0493,1606.0,53.53,154.6272,49.85,50.0,2305.1553,10.0,0.0,1829.0,1.0,2G,2G,Mango,PQza,1.0
ADF0499,224.0,7.47,167.282,16.11,37.5,163534.6055,12.0,12.0,1790.0,1.0,2G,2G,PQza,PQza,1.0
ADF0508,112.0,3.73,195.372,0.0,2.5,1015036.084,13.0,0.0,2268.0,2.0,2G,2G,ToCall,PQza,1.0
ADF0512,120.0,4.0,201.63,5.25,62.5,175380.3223,20.0,0.0,3322.0,5.0,2G,3G,PQza,PQza,1.0
ADF0518,212.0,7.07,209.9748,16.73,2.5,128786.4131,21.0,240.0,4369.0,2.0,2G,2G,PQza,PQza,1.0
ADF0526,117.0,3.9,607.82,25.37,112.5,1464461.794,42.0,804.0,6593.0,1.0,2G,3G,Mango,PQza,1.0
ADF0528,594.0,19.8,656.504,313.8,0.0,25.2627,78.0,6036.0,14865.0,2.0,2G,2G,Mango,PQza,1.0
ADF0538,343.0,11.43,825.226,25.93,65.0,965185.4366,45.0,5287.0,10141.0,1.0,2G,2G,Uxaa,PQza,1.0
ADF0545,1310.0,43.67,982.206,59.84,50.0,1163532.41,52.0,4770.0,14055.0,1.0,2G,2G,Mango,PQza,1.0
ADF0559,297.0,9.9,1505.7772,54.52,150.0,569540.8233,170.0,16159.0,27519.0,1.0,2G,3G,Zintel,PQza,1.0
ADF0581,1348.0,44.93,177.47,0.0,2.5,585569.2217,2.0,0.0,610.0,2.0,2G,2G,ToCall,ToCall,0.0
ADF0586,1837.0,61.23,378.58,16.15,60.0,42310.1328,34.0,2799.0,7019.0,1.0,2G,2G,ToCall,ToCall,0.0
ADF0587,420.0,14.0,433.874,41.58,1.25,0.6777,71.0,60.0,18656.0,1.0,2G,2G,Mango,ToCall,0.0
ADF0595,1443.0,48.1,878.83,60.56,2.5,171.8359,50.0,14497.0,8664.0,1.0,2G,2G,ToCall,ToCall,0.0
ADF0598,1073.0,35.77,1172.3412,23.95,2.5,32489.2959,166.0,9462.0,66251.0,1.0,2G,2G,ToCall,ToCall,0.0
ADF0604,617.0,20.57,62.582,29.79,5.0,87.2539,11.0,546.0,1132.0,1.0,2G,2G,ToCall,ToCall,1.0
ADF0606,941.0,31.37,69.998,9.56,2.5,28.8105,22.0,192.0,3438.0,1.0,2G,2G,Zintel,ToCall,1.0
ADF0608,2085.0,69.5,75.158,20.7,1.25,47.126,16.0,24.0,2440.0,1.0,2G,2G,ToCall,ToCall,1.0
ADF0609,396.0,13.2,85.4004,11.95,27.5,1819.7568,21.0,108.0,2657.0,1.0,2G,2G,PQza,ToCall,1.0
ADF0612,112.0,3.73,88.78,0.0,0.0,2771.9062,13.0,120.0,5711.0,1.0,2G,2G,ToCall,ToCall,1.0
ADF0614,1766.0,58.87,96.996,14.34,3.75,87.2783,19.0,2832.0,1536.0,1.0,2G,2G,ToCall,ToCall,1.0
ADF0623,303.0,10.1,211.8048,29.92,1.25,0.9883,23.0,12.0,5390.0,1.0,2G,2G,ToCall,ToCall,1.0
ADF0629,435.0,14.5,790.022,80.46,3.75,536495.0674,81.0,0.0,30847.0,1.0,2G,2G,Weematel,ToCall,1.0
ADF0633,393.0,13.1,1210.1728,7.17,33.75,1685.6894,334.0,0.0,62189.0,1.0,2G,2G,ToCall,ToCall,1.0
ADF1028,2557.0,85.23,14.21,0.0,0.0,41668.7041,3.0,24.0,490.0,2.0,2G,2G,Uxaa,Uxaa,0.0
ADF1033,121.0,4.03,42.04,0.01,20.0,8001.2422,19.0,156.0,1329.0,1.0,2G,3G,Uxaa,Uxaa,0.0
ADF1040,1469.0,48.97,84.422,12.42,1.25,0.125,125.0,2634.0,3460.0,1.0,2G,2G,Uxaa,Uxaa,0.0
ADF1047,1284.0,42.8,113.388,10.5,8.75,22865.5576,64.0,946.0,2987.0,2.0,2G,2G,Uxaa,Uxaa,0.0
ADF1052,1423.0,47.43,136.3,0.0,10.0,287861.3066,8.0,12.0,1540.0,6.0,2G,2G,Zintel,Uxaa,0.0
ADF1055,2260.0,75.33,150.22,0.0,1.25,1.0791,162.0,2325.0,1874.0,4.0,2G,2G,Uxaa,Uxaa,0.0
ADF1061,936.0,31.2,170.99,11.88,0.0,9810.959,43.0,5403.0,5725.0,1.0,2G,2G,Zintel,Uxaa,0.0
ADF1069,114.0,3.8,183.84,1.76,0.0,6509.1582,44.0,3012.0,3534.0,2.0,2G,3G,PQza,Uxaa,0.0
ADF1077,138.0,4.6,223.7996,74.24,38.75,21134.9131,51.0,4488.0,4607.0,1.0,2G,2G,Weematel,Uxaa,0.0
ADF1078,109.0,3.63,224.6564,120.75,0.0,856.3242,16.0,2700.0,2735.0,2.0,2G,2G,ToCall,Uxaa,0.0
ADF1080,4837.0,161.23,229.82,24.76,77.5,128160.6065,46.0,789.0,4047.0,1.0,2G,2G,PQza,Uxaa,0.0
ADF1084,142.0,4.73,241.588,0.0,0.0,10972.0264,37.0,6816.0,5400.0,1.0,2G,2G,Weematel,Uxaa,0.0
ADF1086,2248.0,74.93,256.69,16.06,1.25,4795.3906,69.0,1722.0,2945.0,1.0,2G,2G,Uxaa,Uxaa,0.0
ADF1089,1159.0,38.63,280.126,1.75,3.75,13.1885,28.0,4595.0,8831.0,1.0,2G,2G,ToCall,Uxaa,0.0
ADF1090,3962.0,132.07,283.568,0.01,11.25,7992730.518,9.0,60.0,788.0,7.0,2G,3G,Uxaa,Uxaa,0.0
ADF1094,931.0,31.03,296.42,1.75,26.25,36708.586,55.0,540.0,1641.0,1.0,2G,2G,Uxaa,Uxaa,0.0
ADF1098,3183.0,106.1,307.532,0.01,3.75,50.0381,43.0,7668.0,10038.0,1.0,2G,2G,ToCall,Uxaa,0.0
ADF1102,122.0,4.07,324.722,84.0,0.0,70.001,39.0,13980.0,5287.0,2.0,2G,2G,PQza,Uxaa,0.0
ADF1103,3704.0,123.47,332.854,9.62,1.25,22.04,91.0,4744.0,6083.0,3.0,2G,2G,Uxaa,Uxaa,0.0
ADF1106,2051.0,68.37,342.37,2.62,0.0,547.8291,315.0,4853.0,0.0,1.0,2G,2G,ToCall,Uxaa,0.0
ADF1107,227.0,7.57,343.2808,65.41,43.75,176679.2842,29.0,906.0,1021.0,2.0,2G,2G,Uxaa,Uxaa,0.0
ADF1108,110.0,3.67,352.5232,28.27,21.25,53194.5898,306.0,4320.0,4174.0,3.0,2G,2G,Uxaa,Uxaa,0.0
ADF1109,3019.0,100.63,354.3724,8.93,3.75,157332.0869,141.0,4057.0,6619.0,1.0,2G,2G,Mango,Uxaa,0.0
ADF1114,1499.0,49.97,361.7256,35.32,0.0,3288.1631,142.0,8124.0,4136.0,1.0,2G,2G,Mango,Uxaa,0.0
ADF1124,306.0,10.2,399.5248,1.75,28.75,307292.1416,116.0,4140.0,1666.0,1.0,2G,2G,ToCall,Uxaa,0.0
ADF1132,1061.0,35.37,423.0128,4.79,2.5,381433.8233,351.0,9552.0,10846.0,2.0,2G,2G,ToCall,Uxaa,0.0
ADF1136,2316.0,77.2,426.628,0.0,102.3,287544.4825,36.0,6335.0,4508.0,3.0,2G,2G,PQza,Uxaa,0.0
ADF1139,2148.0,71.6,437.7,0.0,0.0,30611.7959,523.0,0.0,0.0,3.0,2G,2G,Zintel,Uxaa,0.0
ADF1143,3701.0,123.37,442.0844,1.75,5.0,292.5508,165.0,3353.0,6334.0,1.0,2G,2G,ToCall,Uxaa,0.0
ADF1146,745.0,24.83,450.4512,32.15,42.47,118434.7422,176.0,8753.0,978.0,1.0,2G,2G,PQza,Uxaa,0.0
ADF1152,1487.0,49.57,466.2008,0.0,3.75,13.9531,468.0,12856.0,7517.0,1.0,2G,2G,PQza,Uxaa,0.0
ADF1153,1625.0,54.17,466.73,2.92,0.0,824.752,40.0,4195.0,8903.0,2.0,2G,2G,Weematel,Uxaa,0.0
ADF1165,2032.0,67.73,485.108,46.52,1.25,4.2793,93.0,8907.0,2653.0,1.0,2G,2G,Uxaa,Uxaa,0.0
ADF1172,747.0,24.9,495.03,79.2,0.0,58128.7901,460.0,8700.0,26663.0,2.0,2G,2G,Uxaa,Uxaa,0.0
ADF1174,2237.0,74.57,499.6376,5.25,30.0,5772188.781,71.0,609.0,17784.0,5.0,2G,3G,PQza,Uxaa,0.0
ADF1175,1383.0,46.1,503.3184,24.5,27.5,955695.5263,53.0,1734.0,11209.0,1.0,2G,2G,Zintel,Uxaa,0.0
ADF1176,3196.0,106.53,507.4964,14.37,86.21,353274.6308,23.0,2112.0,2469.0,2.0,2G,2G,PQza,Uxaa,0.0
ADF1179,100.0,3.33,514.4684,0.0,0.0,91824.9209,141.0,992.0,609.0,1.0,2G,2G,Weematel,Uxaa,0.0
ADF1181,1654.0,55.13,516.354,41.14,1.86,4175.2608,92.0,18510.0,477.0,1.0,2G,2G,Mango,Uxaa,0.0
ADF1185,2051.0,68.37,523.2776,49.88,18.75,168358.9795,73.0,7331.0,5462.0,1.0,2G,2G,Uxaa,Uxaa,0.0
ADF1196,411.0,13.7,536.1508,34.52,6.55,997233.5264,112.0,3172.0,12098.0,1.0,2G,3G,PQza,Uxaa,0.0
ADF1198,4151.0,138.37,541.682,0.0,0.0,15912.5723,162.0,5450.0,4613.0,5.0,2G,2G,PQza,Uxaa,0.0
ADF1203,770.0,25.67,550.072,7.74,5.0,52776.748,182.0,5123.0,4254.0,1.0,2G,2G,PQza,Uxaa,0.0
ADF1207,1758.0,58.6,556.3616,5.25,0.0,190.5137,193.0,10655.0,10253.0,1.0,2G,2G,Weematel,Uxaa,0.0
ADF1209,3879.0,129.3,565.4868,11.96,1.25,117888.5762,66.0,0.0,0.0,11.0,2G,3G,Weematel,Uxaa,0.0
ADF1211,3340.0,111.33,566.66,0.0,0.0,287165.4756,210.0,502.0,920.0,1.0,2G,3G,0,Uxaa,0.0
ADF1218,110.0,3.67,589.47,130.46,11.25,727.7734,239.0,2904.0,8876.0,4.0,2G,2G,PQza,Uxaa,0.0
ADF1220,133.0,4.43,596.63,0.0,0.0,1150.4736,166.0,2304.0,1512.0,2.0,2G,2G,Uxaa,Uxaa,0.0
ADF1241,248.0,8.27,643.8852,14.0,5.0,230.1465,263.0,4722.0,4973.0,1.0,2G,2G,Mango,Uxaa,0.0
ADF1242,1856.0,61.87,646.1308,3.5,67.5,95443.8779,73.0,13961.0,1039.0,1.0,2G,2G,Uxaa,Uxaa,0.0
ADF1248,503.0,16.77,664.306,0.0,5.0,1218030.941,691.0,765.0,2675.0,2.0,2G,2G,PQza,Uxaa,0.0
ADF1258,1167.0,38.9,680.2124,1.75,20.0,22695.707,544.0,12642.0,5095.0,1.0,2G,2G,ToCall,Uxaa,0.0
ADF1259,3805.0,126.83,681.936,81.47,3.75,3624.375,117.0,39261.0,3657.0,2.0,2G,2G,Uxaa,Uxaa,0.0
ADF1266,1883.0,62.77,712.064,19.24,26.25,1863.6113,150.0,13904.0,5377.0,1.0,2G,3G,Weematel,Uxaa,0.0
ADF1267,2658.0,88.6,713.45,1.22,0.0,391293.7637,392.0,0.0,191.0,3.0,2G,2G,ToCall,Uxaa,0.0
ADF1268,2195.0,73.17,715.7564,21.0,0.0,109143.5322,109.0,2175.0,9900.0,1.0,2G,2G,Uxaa,Uxaa,0.0
ADF1269,3667.0,122.23,716.1,24.12,1.25,0.2969,89.0,34344.0,8592.0,4.0,2G,2G,0,Uxaa,0.0
ADF1271,143.0,4.77,721.938,48.08,1.25,0.8584,225.0,24774.0,2160.0,1.0,2G,2G,Uxaa,Uxaa,0.0
ADF1274,1628.0,54.27,729.996,21.51,0.62,48.2852,157.0,6847.0,31246.0,1.0,2G,2G,Mango,Uxaa,0.0
ADF1289,2667.0,88.9,800.4288,6.89,196.25,1024072.837,16.0,1506.0,1611.0,2.0,2G,2G,Uxaa,Uxaa,0.0
ADF1293,141.0,4.7,810.38,49.58,56.25,210613.8564,78.0,2988.0,1653.0,1.0,2G,2G,Weematel,Uxaa,0.0
ADF1301,2588.0,86.27,827.75,18.22,58.75,488987.1231,21.0,1932.0,2606.0,2.0,2G,2G,Zintel,Uxaa,0.0
ADF1306,108.0,3.6,836.6616,3.5,15.0,65203.1094,36.0,3924.0,2556.0,1.0,2G,2G,Mango,Uxaa,0.0
ADF1309,1693.0,56.43,840.04,12.25,68.75,66257.3985,76.0,24903.0,5055.0,6.0,2G,2G,Uxaa,Uxaa,0.0
ADF1318,2194.0,73.13,866.0188,81.78,3.75,64.7021,345.0,7422.0,42442.0,1.0,2G,2G,Uxaa,Uxaa,0.0
ADF1319,325.0,10.83,866.35,4.17,3.75,277.9688,289.0,36300.0,4567.0,2.0,2G,2G,Mango,Uxaa,0.0
ADF1320,1355.0,45.17,875.4,0.0,0.0,144766.4629,888.0,0.0,0.0,3.0,2G,2G,Weematel,Uxaa,0.0
ADF1323,3705.0,123.5,875.4,0.0,0.0,165154.3701,633.0,0.0,0.0,1.0,2G,2G,ToCall,Uxaa,0.0
ADF1336,2180.0,72.67,883.17,0.0,0.0,24901.0264,712.0,0.0,179.0,2.0,2G,2G,Weematel,Uxaa,0.0
ADF1338,2398.0,79.93,885.8196,17.35,8.75,1237.3144,619.0,13888.0,7960.0,1.0,2G,2G,ToCall,Uxaa,0.0
ADF1340,3651.0,121.7,889.138,1.2,0.0,6065.1719,313.0,0.0,895.0,2.0,2G,2G,PQza,Uxaa,0.0
ADF1347,3689.0,122.97,900.98,0.0,0.0,73951.0078,723.0,1733.0,179.0,4.0,2G,2G,Weematel,Uxaa,0.0
ADF1348,1417.0,47.23,903.27,0.0,22.5,2166780.011,660.0,0.0,537.0,1.0,2G,3G,Weematel,Uxaa,0.0
ADF1352,1048.0,34.93,909.98,13.71,0.0,54.04,786.0,0.0,179.0,6.0,2G,2G,ToCall,Uxaa,0.0
ADF1355,149.0,4.97,911.2984,134.59,67.5,13956.0303,226.0,29724.0,23748.0,1.0,2G,2G,PQza,Uxaa,0.0
ADF1359,3899.0,129.97,916.92,4.78,0.0,366469.0478,1170.0,0.0,358.0,1.0,2G,2G,Uxaa,Uxaa,0.0
ADF1360,3279.0,109.3,917.59,0.0,0.0,1846070.15,1073.0,0.0,2151.0,1.0,2G,2G,ToCall,Uxaa,0.0
ADF1362,3341.0,111.37,919.066,5.99,0.0,200704.8692,502.0,0.0,1367.0,3.0,2G,2G,Zintel,Uxaa,0.0
ADF1373,1915.0,63.83,940.674,0.0,21.25,248445.0889,122.0,19614.0,12871.0,1.0,2G,2G,PQza,Uxaa,0.0
ADF1383,170.0,5.67,958.63,48.64,15.0,23427.8515,119.0,17184.0,3195.0,1.0,2G,2G,Uxaa,Uxaa,0.0
ADF1385,3561.0,118.7,961.8212,58.48,121.25,435237.2461,61.0,2978.0,5784.0,1.0,2G,2G,Uxaa,Uxaa,0.0
ADF1387,1345.0,44.83,963.08,0.0,0.0,14.7383,788.0,2940.0,1458.0,4.0,2G,2G,Weematel,Uxaa,0.0
ADF1389,368.0,12.27,964.12,20.23,17.5,2165091.16,64.0,3474.0,6085.0,1.0,2G,2G,Zintel,Uxaa,0.0
ADF1397,4632.0,154.4,974.28,48.93,120.0,365654.5869,92.0,20988.0,21153.0,1.0,2G,2G,Weematel,Uxaa,0.0
ADF1405,1145.0,38.17,992.4124,74.09,26.25,1104.9473,131.0,35499.0,26258.0,1.0,2G,2G,ToCall,Uxaa,0.0
ADF1407,2793.0,93.1,996.714,8.64,3.72,580.9766,253.0,42736.0,16313.0,3.0,2G,2G,ToCall,Uxaa,0.0
ADF1416,1177.0,39.23,1018.358,7.0,0.0,390166.9218,420.0,610.0,2471.0,2.0,2G,2G,Zintel,Uxaa,0.0
ADF1417,3515.0,117.17,1021.68,0.6,1.25,44264.4648,753.0,1212.0,179.0,1.0,2G,2G,PQza,Uxaa,0.0
ADF1420,3210.0,107.0,1024.482,0.09,590.0,2718053.559,12.0,813.0,860.0,2.0,2G,2G,PQza,Uxaa,0.0
ADF1421,3744.0,124.8,1026.798,1.76,36.25,355.0362,1253.0,20376.0,8640.0,3.0,2G,2G,PQza,Uxaa,0.0
ADF1422,3955.0,131.83,1029.14,24.5,17.5,590660.2422,339.0,15406.0,6346.0,1.0,2G,3G,Mango,Uxaa,0.0
ADF1423,1770.0,59.0,1032.65,0.0,0.0,5080.3379,482.0,1231.0,7826.0,1.0,2G,2G,Zintel,Uxaa,0.0
ADF1428,3704.0,123.47,1045.3784,1.75,98.75,192469.0263,223.0,24828.0,17867.0,1.0,2G,3G,ToCall,Uxaa,0.0
